"The Alestle, June 17, 1998",../Alestle/text/Ales_1998_06_17.txt,../Alestle/text/Ales_1998_06_17.txt,,Vol.51 No.4,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"June 17, 1998",
"The Alestle, October 29, 1998",../Alestle/text/Ales_1998_10_29.txt,../Alestle/text/Ales_1998_10_29.txt,,Vol.51 No.19,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"October 29, 1998",
"The Alestle, September 17, 1998",../Alestle/text/Ales_1998_09_17.txt,../Alestle/text/Ales_1998_09_17.txt,,Vol.51 No.6,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"September 17, 1998",
"The Alestle, July 15, 1998",../Alestle/text/Ales_1998_07_15.txt,../Alestle/text/Ales_1998_07_15.txt,,Vol.51 No.7,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"July 15, 1998",
"The Alestle, August 23, 1998",../Alestle/text/Ales_1998_09_01.txt,../Alestle/text/Ales_1998_09_01.txt,,Vol.51 No.3,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"August 23, 1998",
"The Alestle, April 14, 1998",../Alestle/text/Ales_1998_04_14.txt,../Alestle/text/Ales_1998_04_14.txt,,Vol.50 No.62,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 14, 1998",
"The Alestle, February 12, 1998",../Alestle/text/Ales_1998_02_12.txt,../Alestle/text/Ales_1998_02_12.txt,,Vol.50 No.47,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"February 12, 1998",
"The Alestle, March 12, 1998",../Alestle/text/Ales_1998_03_12.txt,../Alestle/text/Ales_1998_03_12.txt,,Vol.50 No.55,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"March 12, 1998",
"The Alestle, March 21, 1997",../Alestle/text/Ales_1998_07_08.txt,../Alestle/text/Ales_1998_07_08.txt,,Vol.51 No.6,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"March 21, 1997",
"The Alestle, April 25, 1998",../Alestle/text/Ales_1998_04_07.txt,../Alestle/text/Ales_1998_04_07.txt,,Vol.50 No.60,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 25, 1998",
